"mass","length","protein_status"
701788,6543,"not_secreted"
577343,5107,"not_secreted"
576745,5311,"not_secreted"
565996,5086,"not_secreted"
545009,4964,"not_secreted"
518062,4727,"not_secreted"
459331,4244,"not_secreted"
445474,4067,"not_secreted"
443780,3888,"not_secreted"
420122,3866,"not_secreted"
408940,3765,"not_secreted"
368663,3331,"not_secreted"
342999,3151,"not_secreted"
330470,2941,"not_secreted"
328277,2930,"not_secreted"
316600,2879,"not_secreted"
302158,2684,"not_secreted"
298817,2758,"not_secreted"
298643,2734,"not_secreted"
296551,2777,"not_secreted"
286678,2653,"not_secreted"
285689,2608,"not_secreted"
280411,2591,"not_secreted"
279107,2556,"not_secreted"
276922,2456,"not_secreted"
269354,2479,"not_secreted"
268230,2503,"not_secreted"
261444,2405,"not_secreted"
260209,2399,"not_secreted"
255294,2288,"not_secreted"
249926,2206,"not_secreted"
247073,2213,"not_secreted"
245037,2286,"not_secreted"
244433,2194,"not_secreted"
242695,2251,"not_secreted"
240255,2128,"not_secreted"
238737,2227,"not_secreted"
234665,2173,"not_secreted"
225485,2053,"not_secreted"
224847,2046,"not_secreted"
222073,1986,"not_secreted"
221046,2006,"not_secreted"
219098,1971,"not_secreted"
218264,1944,"not_secreted"
217462,2018,"not_secreted"
215815,1967,"not_secreted"
210825,1934,"not_secreted"
209942,1874,"not_secreted"
208191,1872,"not_secreted"
204322,1859,"not_secreted"
201533,1833,"not_secreted"
200671,1870,"not_secreted"
199369,1825,"not_secreted"
198679,1839,"not_secreted"
193362,1683,"not_secreted"
189376,1645,"not_secreted"
187478,1679,"not_secreted"
186969,1706,"not_secreted"
186675,1689,"not_secreted"
185722,1683,"not_secreted"
185229,1693,"not_secreted"
184739,1691,"not_secreted"
181124,1658,"not_secreted"
180124,1590,"not_secreted"
179390,1634,"not_secreted"
178605,1607,"not_secreted"
177907,1677,"not_secreted"
176794,1579,"not_secreted"
175447,1581,"not_secreted"
175156,1593,"not_secreted"
174340,1571,"not_secreted"
173614,1601,"not_secreted"
173604,1571,"not_secreted"
173562,1583,"not_secreted"
173522,1664,"not_secreted"
172038,1580,"not_secreted"
171374,1555,"not_secreted"
171355,1590,"not_secreted"
171336,1524,"not_secreted"
171216,1514,"not_secreted"
169973,1555,"not_secreted"
169492,1521,"not_secreted"
168852,1550,"not_secreted"
168527,1513,"not_secreted"
168050,1529,"not_secreted"
167511,1571,"not_secreted"
167245,1625,"not_secreted"
166585,1533,"not_secreted"
166095,1485,"not_secreted"
165655,1506,"not_secreted"
165430,1484,"not_secreted"
165090,1454,"not_secreted"
165032,1505,"not_secreted"
164062,1518,"not_secreted"
163865,1539,"not_secreted"
163569,1504,"not_secreted"
163556,1477,"secreted"
163556,1477,"secreted"
163103,1498,"not_secreted"
162211,1483,"not_secreted"
161824,1454,"not_secreted"
160956,1430,"not_secreted"
158577,1433,"secreted"
157996,1427,"not_secreted"
157632,1438,"not_secreted"
157579,1425,"not_secreted"
156203,1383,"not_secreted"
155975,1432,"not_secreted"
155486,1431,"not_secreted"
154172,1401,"not_secreted"
152812,1425,"not_secreted"
152810,1345,"not_secreted"
152619,1412,"not_secreted"
152116,1357,"not_secreted"
151949,1390,"not_secreted"
151735,1401,"not_secreted"
151683,1421,"not_secreted"
150719,1376,"not_secreted"
150707,1348,"not_secreted"
149179,1337,"not_secreted"
147440,1334,"not_secreted"
147304,1350,"not_secreted"
146400,1306,"not_secreted"
145524,1333,"not_secreted"
143952,1329,"not_secreted"
143508,1307,"not_secreted"
142696,1275,"not_secreted"
141801,1295,"not_secreted"
140958,1323,"not_secreted"
140909,1275,"not_secreted"
140332,1269,"not_secreted"
140111,1267,"not_secreted"
139033,1266,"not_secreted"
138919,1234,"not_secreted"
138639,1265,"not_secreted"
138356,1289,"not_secreted"
138321,1280,"not_secreted"
138169,1212,"not_secreted"
137661,1277,"not_secreted"
137631,1256,"not_secreted"
137298,1214,"not_secreted"
136669,1221,"not_secreted"
135452,1207,"not_secreted"
135349,1215,"not_secreted"
135205,1235,"not_secreted"
134856,1225,"not_secreted"
134606,1224,"not_secreted"
134497,1229,"not_secreted"
134333,1212,"not_secreted"
133984,1217,"not_secreted"
133832,1208,"not_secreted"
133152,1201,"not_secreted"
133095,1197,"not_secreted"
133086,1180,"not_secreted"
132554,1205,"not_secreted"
132332,1187,"not_secreted"
132322,1165,"not_secreted"
131835,1179,"not_secreted"
131490,1226,"not_secreted"
131401,1184,"not_secreted"
131399,1185,"not_secreted"
131234,1188,"not_secreted"
130932,1151,"not_secreted"
130902,1173,"not_secreted"
130405,1204,"not_secreted"
130327,1134,"not_secreted"
130030,1204,"not_secreted"
129620,1171,"not_secreted"
129413,1170,"not_secreted"
129148,1179,"not_secreted"
129108,1138,"not_secreted"
129043,1158,"not_secreted"
127888,1166,"not_secreted"
126896,1151,"not_secreted"
126746,1127,"not_secreted"
126680,1160,"not_secreted"
126319,1147,"not_secreted"
125354,1136,"not_secreted"
124947,1182,"not_secreted"
123590,1113,"not_secreted"
123424,1101,"not_secreted"
123014,1124,"not_secreted"
122971,1122,"not_secreted"
122819,1118,"not_secreted"
122727,1127,"not_secreted"
122508,1117,"not_secreted"
122353,1113,"not_secreted"
122197,1106,"not_secreted"
120942,1099,"not_secreted"
120374,1101,"not_secreted"
120102,1084,"not_secreted"
120044,1118,"not_secreted"
119954,1094,"not_secreted"
119781,1079,"not_secreted"
118367,1059,"not_secreted"
118275,1039,"not_secreted"
118017,1084,"not_secreted"
117822,1043,"not_secreted"
117397,1054,"not_secreted"
117377,1078,"not_secreted"
116936,1076,"not_secreted"
116724,1066,"not_secreted"
116425,1058,"not_secreted"
116278,1063,"not_secreted"
116059,1045,"not_secreted"
115964,1049,"not_secreted"
115119,1065,"not_secreted"
114803,1035,"not_secreted"
114687,1031,"not_secreted"
114686,1052,"not_secreted"
114057,1011,"not_secreted"
113951,1034,"not_secreted"
113932,1017,"not_secreted"
112825,1012,"not_secreted"
112488,1017,"not_secreted"
112187,1050,"not_secreted"
111233,996,"not_secreted"
111121,943,"not_secreted"
111097,1032,"not_secreted"
110634,995,"not_secreted"
109494,1003,"not_secreted"
109191,999,"not_secreted"
109130,1011,"not_secreted"
108752,976,"not_secreted"
108138,968,"not_secreted"
108124,979,"not_secreted"
108072,1000,"not_secreted"
107937,975,"not_secreted"
107927,1001,"not_secreted"
107863,1005,"not_secreted"
107734,1011,"not_secreted"
107551,961,"not_secreted"
107114,939,"not_secreted"
107043,980,"not_secreted"
107004,951,"not_secreted"
106716,971,"not_secreted"
106255,993,"not_secreted"
106057,950,"not_secreted"
105161,949,"not_secreted"
104976,960,"not_secreted"
104595,936,"not_secreted"
104132,946,"secreted"
104040,950,"not_secreted"
103959,972,"not_secreted"
103777,943,"secreted"
103382,924,"not_secreted"
102861,926,"not_secreted"
102544,906,"not_secreted"
102471,925,"not_secreted"
102270,913,"not_secreted"
102007,922,"not_secreted"
101133,955,"not_secreted"
101074,922,"not_secreted"
100811,935,"not_secreted"
100682,938,"not_secreted"
100070,943,"not_secreted"
99962,885,"not_secreted"
99555,920,"not_secreted"
99535,900,"not_secreted"
99533,902,"not_secreted"
99225,901,"not_secreted"
99144,896,"not_secreted"
99103,885,"not_secreted"
98926,911,"not_secreted"
98870,894,"not_secreted"
98645,903,"not_secreted"
98545,857,"not_secreted"
98452,910,"not_secreted"
98335,909,"not_secreted"
98150,881,"not_secreted"
98141,897,"not_secreted"
98018,888,"not_secreted"
97928,871,"not_secreted"
97922,885,"not_secreted"
97817,906,"not_secreted"
97749,884,"not_secreted"
97650,888,"not_secreted"
97355,859,"not_secreted"
97164,886,"not_secreted"
96675,871,"not_secreted"
96662,868,"secreted"
96604,889,"not_secreted"
96325,869,"not_secreted"
96212,865,"not_secreted"
95969,845,"not_secreted"
95897,852,"not_secreted"
95824,832,"not_secreted"
95377,849,"not_secreted"
95364,863,"not_secreted"
95082,856,"not_secreted"
95029,849,"not_secreted"
94934,873,"not_secreted"
94925,849,"not_secreted"
94717,863,"not_secreted"
94596,851,"secreted"
94596,851,"secreted"
94596,851,"secreted"
94452,862,"not_secreted"
93285,863,"not_secreted"
93217,867,"not_secreted"
93130,864,"not_secreted"
92934,842,"not_secreted"
92889,852,"not_secreted"
92764,831,"not_secreted"
92580,865,"not_secreted"
92405,844,"not_secreted"
92203,806,"not_secreted"
92167,849,"not_secreted"
91509,820,"not_secreted"
91414,805,"not_secreted"
91122,819,"not_secreted"
90792,792,"not_secreted"
90620,812,"not_secreted"
90482,827,"not_secreted"
90081,829,"not_secreted"
90010,799,"not_secreted"
90002,793,"not_secreted"
89953,797,"not_secreted"
89642,816,"not_secreted"
89619,773,"not_secreted"
89425,790,"not_secreted"
89021,779,"not_secreted"
89001,780,"not_secreted"
88990,795,"not_secreted"
88950,782,"not_secreted"
88949,789,"not_secreted"
88675,803,"not_secreted"
88461,787,"not_secreted"
88300,796,"not_secreted"
88085,755,"secreted"
88085,755,"secreted"
88085,755,"secreted"
87720,804,"not_secreted"
87532,771,"not_secreted"
87488,785,"not_secreted"
87290,798,"not_secreted"
87281,782,"not_secreted"
86863,801,"not_secreted"
86698,779,"not_secreted"
86275,763,"not_secreted"
86228,779,"not_secreted"
86187,780,"not_secreted"
86116,755,"not_secreted"
85918,770,"not_secreted"
84855,795,"not_secreted"
84757,776,"not_secreted"
84702,765,"not_secreted"
84607,769,"not_secreted"
84499,759,"not_secreted"
84463,757,"not_secreted"
84441,786,"not_secreted"
84165,770,"not_secreted"
84153,747,"not_secreted"
83923,777,"not_secreted"
83796,752,"not_secreted"
83621,755,"not_secreted"
83497,776,"not_secreted"
83408,754,"not_secreted"
83372,742,"not_secreted"
83141,771,"not_secreted"
83077,783,"not_secreted"
82787,742,"not_secreted"
82756,743,"not_secreted"
82638,737,"not_secreted"
82325,691,"not_secreted"
82158,740,"not_secreted"
82143,723,"not_secreted"
81984,734,"not_secreted"
81910,731,"not_secreted"
81862,794,"not_secreted"
81786,726,"not_secreted"
81766,708,"not_secreted"
81621,746,"not_secreted"
81459,748,"not_secreted"
81375,746,"not_secreted"
81351,737,"not_secreted"
81211,719,"not_secreted"
80960,767,"not_secreted"
80868,720,"not_secreted"
80480,720,"not_secreted"
80443,733,"not_secreted"
80199,724,"not_secreted"
80148,727,"not_secreted"
80089,763,"not_secreted"
79913,730,"not_secreted"
79816,703,"not_secreted"
79694,730,"not_secreted"
79566,718,"not_secreted"
79563,704,"secreted"
79475,712,"not_secreted"
79424,700,"not_secreted"
79341,735,"not_secreted"
79300,702,"not_secreted"
79039,691,"not_secreted"
78988,724,"not_secreted"
78779,707,"not_secreted"
78622,721,"not_secreted"
78486,712,"not_secreted"
78251,729,"not_secreted"
78074,713,"not_secreted"
78065,726,"not_secreted"
77960,696,"not_secreted"
77758,705,"not_secreted"
77146,698,"not_secreted"
77055,684,"not_secreted"
76737,679,"not_secreted"
76525,716,"not_secreted"
76278,690,"not_secreted"
75961,680,"not_secreted"
75939,667,"not_secreted"
75910,699,"not_secreted"
75900,679,"not_secreted"
75727,683,"not_secreted"
75719,680,"secreted"
75719,680,"secreted"
75719,680,"secreted"
75458,695,"not_secreted"
75242,667,"not_secreted"
75098,709,"not_secreted"
74940,685,"not_secreted"
74929,677,"not_secreted"
74928,675,"not_secreted"
74750,659,"not_secreted"
74578,652,"not_secreted"
74149,657,"not_secreted"
73938,674,"not_secreted"
73678,664,"not_secreted"
73635,659,"not_secreted"
73588,645,"not_secreted"
73396,645,"not_secreted"
73138,674,"not_secreted"
73100,661,"not_secreted"
72844,671,"not_secreted"
72413,644,"not_secreted"
72367,664,"not_secreted"
72193,655,"not_secreted"
71959,650,"not_secreted"
71923,656,"not_secreted"
71851,632,"not_secreted"
71821,656,"not_secreted"
71728,660,"not_secreted"
71697,643,"not_secreted"
71654,656,"not_secreted"
71598,669,"not_secreted"
71390,638,"not_secreted"
71367,631,"not_secreted"
71250,614,"not_secreted"
71168,629,"not_secreted"
70761,651,"not_secreted"
70747,635,"not_secreted"
70729,638,"not_secreted"
70708,629,"not_secreted"
70278,646,"not_secreted"
70192,656,"not_secreted"
70124,618,"not_secreted"
70041,632,"secreted"
69848,630,"secreted"
69848,630,"secreted"
69718,629,"not_secreted"
69639,645,"not_secreted"
69441,636,"not_secreted"
69256,631,"not_secreted"
69060,622,"not_secreted"
68932,621,"not_secreted"
68928,611,"not_secreted"
68899,611,"not_secreted"
68659,614,"not_secreted"
68525,630,"not_secreted"
68421,627,"not_secreted"
68350,602,"not_secreted"
68341,625,"not_secreted"
68317,638,"not_secreted"
68304,616,"not_secreted"
68239,607,"not_secreted"
68135,586,"not_secreted"
68060,627,"not_secreted"
68058,625,"not_secreted"
67961,626,"not_secreted"
67940,634,"not_secreted"
67929,610,"not_secreted"
67811,629,"not_secreted"
67769,594,"not_secreted"
67724,591,"not_secreted"
67633,654,"not_secreted"
67442,615,"not_secreted"
67193,609,"not_secreted"
67017,600,"not_secreted"
66832,594,"not_secreted"
66713,582,"not_secreted"
65965,615,"not_secreted"
65854,604,"not_secreted"
65830,596,"not_secreted"
65707,611,"not_secreted"
65681,606,"not_secreted"
65670,613,"not_secreted"
65662,594,"not_secreted"
65411,613,"not_secreted"
65410,585,"not_secreted"
65144,592,"not_secreted"
65054,594,"not_secreted"
65028,582,"not_secreted"
65012,600,"not_secreted"
64935,594,"not_secreted"
64880,585,"not_secreted"
64772,582,"not_secreted"
64757,579,"not_secreted"
64723,572,"not_secreted"
64683,569,"not_secreted"
64390,587,"not_secreted"
64276,562,"not_secreted"
64239,579,"not_secreted"
63609,567,"not_secreted"
63592,575,"not_secreted"
63538,574,"not_secreted"
63531,584,"not_secreted"
63470,566,"not_secreted"
63388,569,"not_secreted"
63153,558,"not_secreted"
62893,576,"not_secreted"
62868,572,"not_secreted"
62861,556,"not_secreted"
62749,581,"not_secreted"
62730,557,"not_secreted"
62416,562,"not_secreted"
62356,554,"not_secreted"
62230,572,"not_secreted"
62177,563,"not_secreted"
62069,576,"not_secreted"
61965,554,"not_secreted"
61649,569,"not_secreted"
61624,545,"not_secreted"
61591,590,"not_secreted"
61397,575,"not_secreted"
61234,557,"not_secreted"
61028,547,"not_secreted"
61017,546,"not_secreted"
60999,548,"not_secreted"
60979,649,"not_secreted"
60973,516,"not_secreted"
60887,549,"not_secreted"
60839,554,"not_secreted"
60804,552,"not_secreted"
60683,534,"not_secreted"
60482,545,"not_secreted"
60467,551,"not_secreted"
60379,567,"not_secreted"
60265,536,"not_secreted"
60198,534,"not_secreted"
60179,577,"not_secreted"
59883,525,"not_secreted"
59850,551,"not_secreted"
59819,542,"not_secreted"
59741,556,"not_secreted"
59734,536,"not_secreted"
59580,591,"not_secreted"
59534,536,"not_secreted"
59386,526,"not_secreted"
59305,525,"not_secreted"
59278,547,"not_secreted"
59275,528,"not_secreted"
59110,532,"not_secreted"
58840,552,"not_secreted"
58776,516,"not_secreted"
58740,526,"not_secreted"
58672,529,"not_secreted"
58608,514,"not_secreted"
58443,513,"not_secreted"
58296,538,"not_secreted"
58237,536,"not_secreted"
58176,550,"not_secreted"
58131,546,"not_secreted"
58120,533,"not_secreted"
58106,531,"not_secreted"
58055,540,"not_secreted"
57944,507,"not_secreted"
57682,563,"not_secreted"
57612,520,"not_secreted"
57607,519,"not_secreted"
57591,520,"not_secreted"
57566,528,"not_secreted"
57505,526,"not_secreted"
57461,519,"not_secreted"
57458,512,"not_secreted"
57289,521,"not_secreted"
57279,528,"not_secreted"
57198,497,"not_secreted"
57086,533,"not_secreted"
56798,507,"not_secreted"
56560,498,"not_secreted"
56451,523,"not_secreted"
56288,509,"not_secreted"
56217,533,"not_secreted"
56186,502,"not_secreted"
56069,521,"not_secreted"
56033,514,"not_secreted"
55998,515,"not_secreted"
55879,492,"not_secreted"
55864,511,"not_secreted"
55839,520,"not_secreted"
55654,516,"not_secreted"
55618,509,"not_secreted"
55377,525,"not_secreted"
55339,476,"not_secreted"
55318,510,"not_secreted"
55292,504,"not_secreted"
55046,504,"not_secreted"
54922,488,"not_secreted"
54862,509,"not_secreted"
54710,500,"not_secreted"
54662,486,"not_secreted"
54647,505,"not_secreted"
54464,480,"not_secreted"
54460,494,"not_secreted"
54412,471,"not_secreted"
54337,478,"not_secreted"
54326,490,"not_secreted"
54141,468,"not_secreted"
54048,493,"not_secreted"
54011,495,"not_secreted"
53988,468,"not_secreted"
53934,487,"not_secreted"
53819,506,"not_secreted"
53683,474,"not_secreted"
53611,485,"not_secreted"
53608,471,"not_secreted"
53571,488,"not_secreted"
53521,475,"not_secreted"
53442,509,"not_secreted"
53134,486,"not_secreted"
53031,478,"not_secreted"
52703,459,"not_secreted"
52679,465,"not_secreted"
52653,467,"not_secreted"
52589,484,"not_secreted"
52587,483,"not_secreted"
52574,473,"not_secreted"
52362,499,"not_secreted"
52307,473,"not_secreted"
52199,462,"not_secreted"
51942,486,"not_secreted"
51814,487,"not_secreted"
51797,474,"not_secreted"
51734,468,"not_secreted"
51568,473,"not_secreted"
51386,464,"not_secreted"
51219,473,"not_secreted"
51138,460,"not_secreted"
51067,468,"not_secreted"
50888,482,"not_secreted"
50743,465,"not_secreted"
50687,457,"not_secreted"
50490,455,"not_secreted"
50435,450,"not_secreted"
50390,454,"not_secreted"
50371,462,"not_secreted"
50345,464,"not_secreted"
50328,474,"not_secreted"
50283,453,"not_secreted"
50214,456,"not_secreted"
50068,450,"not_secreted"
49979,472,"not_secreted"
49979,462,"not_secreted"
49910,447,"not_secreted"
49874,442,"not_secreted"
49860,450,"not_secreted"
49755,445,"not_secreted"
49657,445,"not_secreted"
49402,453,"not_secreted"
49278,452,"not_secreted"
49194,437,"not_secreted"
49164,432,"not_secreted"
49106,428,"not_secreted"
48955,464,"not_secreted"
48952,449,"not_secreted"
48873,443,"not_secreted"
48769,455,"not_secreted"
48758,447,"not_secreted"
48701,459,"not_secreted"
48672,455,"not_secreted"
48617,424,"not_secreted"
48512,441,"not_secreted"
48162,432,"not_secreted"
48078,453,"not_secreted"
48058,442,"not_secreted"
47907,440,"not_secreted"
47747,435,"not_secreted"
47517,411,"not_secreted"
47424,423,"not_secreted"
47423,408,"not_secreted"
47389,416,"not_secreted"
47129,416,"not_secreted"
47122,445,"not_secreted"
47044,428,"not_secreted"
46987,427,"not_secreted"
46932,417,"not_secreted"
46912,423,"not_secreted"
46756,433,"not_secreted"
46700,437,"not_secreted"
46678,427,"not_secreted"
46677,428,"not_secreted"
46527,424,"not_secreted"
46478,425,"not_secreted"
46434,436,"not_secreted"
46395,421,"not_secreted"
46363,429,"not_secreted"
46354,439,"not_secreted"
46320,427,"not_secreted"
46288,419,"not_secreted"
46239,424,"not_secreted"
46086,411,"not_secreted"
45966,406,"not_secreted"
45950,415,"not_secreted"
45892,418,"not_secreted"
45763,412,"not_secreted"
45748,409,"not_secreted"
45619,406,"not_secreted"
45558,424,"not_secreted"
45273,411,"not_secreted"
45172,409,"not_secreted"
45045,404,"not_secreted"
45039,417,"not_secreted"
45032,412,"not_secreted"
44938,422,"not_secreted"
44920,396,"not_secreted"
44905,422,"not_secreted"
44701,416,"not_secreted"
44518,400,"not_secreted"
44147,419,"not_secreted"
43957,398,"not_secreted"
43785,398,"not_secreted"
43714,386,"not_secreted"
43664,406,"not_secreted"
43507,391,"not_secreted"
43289,384,"not_secreted"
43096,390,"not_secreted"
43036,390,"not_secreted"
42928,390,"not_secreted"
42885,376,"not_secreted"
42848,394,"not_secreted"
42707,389,"not_secreted"
42519,378,"not_secreted"
42293,382,"not_secreted"
42068,385,"not_secreted"
42055,383,"not_secreted"
41874,393,"not_secreted"
41748,394,"not_secreted"
41465,401,"not_secreted"
41419,372,"not_secreted"
41136,371,"not_secreted"
41119,370,"not_secreted"
41119,369,"not_secreted"
41108,373,"not_secreted"
40994,355,"not_secreted"
40941,379,"not_secreted"
40889,360,"not_secreted"
40885,381,"not_secreted"
40839,373,"not_secreted"
40807,370,"not_secreted"
40802,376,"not_secreted"
40749,376,"not_secreted"
40517,372,"not_secreted"
40503,357,"not_secreted"
40483,344,"not_secreted"
40463,356,"not_secreted"
40117,364,"not_secreted"
40102,368,"not_secreted"
40093,359,"not_secreted"
40082,330,"not_secreted"
39754,357,"not_secreted"
39753,363,"not_secreted"
39753,357,"not_secreted"
39632,360,"not_secreted"
39519,358,"not_secreted"
39468,375,"not_secreted"
39310,363,"not_secreted"
39240,345,"not_secreted"
39169,344,"not_secreted"
39163,356,"not_secreted"
39135,358,"not_secreted"
39073,360,"not_secreted"
39026,346,"not_secreted"
38938,368,"not_secreted"
38735,354,"not_secreted"
38599,366,"not_secreted"
38503,358,"not_secreted"
38476,357,"not_secreted"
38429,351,"not_secreted"
38409,338,"not_secreted"
38406,345,"not_secreted"
38286,356,"not_secreted"
38211,327,"not_secreted"
38085,352,"not_secreted"
38069,344,"not_secreted"
38037,353,"not_secreted"
37923,327,"not_secreted"
37891,343,"not_secreted"
37856,339,"not_secreted"
37721,338,"not_secreted"
37620,353,"not_secreted"
37579,340,"not_secreted"
37554,335,"not_secreted"
37537,325,"not_secreted"
37448,331,"not_secreted"
37440,328,"not_secreted"
37432,347,"not_secreted"
37234,329,"not_secreted"
37209,327,"not_secreted"
37208,343,"not_secreted"
37151,328,"not_secreted"
36978,345,"not_secreted"
36859,332,"not_secreted"
36776,330,"not_secreted"
36767,330,"not_secreted"
36686,336,"not_secreted"
36682,316,"not_secreted"
36678,335,"not_secreted"
36466,323,"not_secreted"
36388,315,"not_secreted"
36357,345,"not_secreted"
36322,330,"not_secreted"
36136,315,"not_secreted"
35622,347,"not_secreted"
35609,328,"not_secreted"
35541,324,"not_secreted"
35503,316,"not_secreted"
35463,329,"not_secreted"
35012,320,"not_secreted"
35007,313,"not_secreted"
34891,324,"not_secreted"
34857,304,"not_secreted"
34790,311,"not_secreted"
34634,330,"not_secreted"
34591,323,"not_secreted"
34528,309,"not_secreted"
34333,311,"not_secreted"
34228,327,"not_secreted"
34085,301,"not_secreted"
34030,306,"not_secreted"
33944,316,"not_secreted"
33513,311,"not_secreted"
33457,299,"not_secreted"
33435,314,"not_secreted"
33241,298,"not_secreted"
33116,313,"not_secreted"
32832,302,"not_secreted"
32799,298,"not_secreted"
32706,288,"not_secreted"
32520,298,"not_secreted"
32341,302,"not_secreted"
32131,300,"not_secreted"
31998,298,"not_secreted"
31915,289,"not_secreted"
31865,308,"not_secreted"
31849,289,"not_secreted"
31574,289,"not_secreted"
31341,294,"not_secreted"
30777,267,"not_secreted"
30598,282,"not_secreted"
30570,278,"not_secreted"
30453,283,"not_secreted"
30402,278,"not_secreted"
30374,268,"not_secreted"
30351,275,"not_secreted"
30009,279,"not_secreted"
29968,270,"not_secreted"
29958,260,"not_secreted"
29807,271,"not_secreted"
29791,263,"not_secreted"
29770,261,"not_secreted"
29768,276,"not_secreted"
29720,291,"not_secreted"
29598,269,"not_secreted"
29497,260,"not_secreted"
29449,273,"not_secreted"
29415,260,"not_secreted"
29330,274,"not_secreted"
29302,263,"not_secreted"
29275,256,"not_secreted"
29181,271,"not_secreted"
29173,264,"not_secreted"
29160,261,"not_secreted"
28719,256,"not_secreted"
28560,246,"not_secreted"
28483,245,"not_secreted"
28275,260,"not_secreted"
27918,255,"not_secreted"
27913,251,"not_secreted"
27907,261,"not_secreted"
27742,259,"not_secreted"
27700,246,"not_secreted"
27663,244,"not_secreted"
27636,264,"not_secreted"
27621,250,"not_secreted"
27556,257,"not_secreted"
27456,255,"not_secreted"
27422,239,"not_secreted"
27158,243,"not_secreted"
27116,240,"not_secreted"
27039,254,"not_secreted"
26967,236,"not_secreted"
26894,245,"not_secreted"
26801,243,"not_secreted"
26759,238,"not_secreted"
26666,246,"not_secreted"
26424,234,"not_secreted"
26153,234,"not_secreted"
25897,246,"not_secreted"
25886,232,"not_secreted"
25511,223,"not_secreted"
25479,236,"not_secreted"
25454,233,"not_secreted"
25348,239,"not_secreted"
25171,222,"not_secreted"
25153,236,"not_secreted"
25128,229,"not_secreted"
25068,231,"not_secreted"
25041,226,"not_secreted"
24929,220,"not_secreted"
24680,225,"not_secreted"
24670,224,"not_secreted"
24458,228,"not_secreted"
24337,229,"not_secreted"
24166,216,"not_secreted"
24039,213,"not_secreted"
23798,215,"not_secreted"
23564,226,"not_secreted"
23554,208,"not_secreted"
23383,210,"not_secreted"
23353,206,"not_secreted"
23255,222,"not_secreted"
23185,213,"not_secreted"
23144,205,"not_secreted"
23135,205,"not_secreted"
22988,212,"not_secreted"
22855,208,"not_secreted"
22733,206,"secreted"
22705,211,"not_secreted"
22631,212,"not_secreted"
22465,204,"not_secreted"
22407,208,"not_secreted"
22338,202,"not_secreted"
22125,207,"not_secreted"
22088,205,"not_secreted"
21885,195,"not_secreted"
21881,205,"not_secreted"
21762,195,"not_secreted"
21577,184,"not_secreted"
21514,189,"not_secreted"
21434,197,"not_secreted"
21346,187,"not_secreted"
21344,190,"not_secreted"
21334,193,"secreted"
21334,193,"secreted"
21334,193,"secreted"
21295,194,"not_secreted"
21138,194,"not_secreted"
21034,191,"secreted"
20944,183,"not_secreted"
20846,188,"not_secreted"
20728,187,"secreted"
20728,187,"secreted"
20699,195,"not_secreted"
20694,188,"not_secreted"
20661,177,"not_secreted"
20634,186,"not_secreted"
20500,180,"not_secreted"
20197,182,"not_secreted"
20155,184,"not_secreted"
19473,168,"not_secreted"
19354,181,"not_secreted"
19334,174,"not_secreted"
19141,170,"not_secreted"
19136,176,"not_secreted"
19094,174,"not_secreted"
18961,177,"not_secreted"
18704,169,"not_secreted"
18347,166,"not_secreted"
18309,167,"not_secreted"
18054,163,"not_secreted"
17978,156,"not_secreted"
17827,158,"secreted"
17521,159,"not_secreted"
17410,154,"not_secreted"
17310,161,"not_secreted"
17031,165,"not_secreted"
16864,151,"not_secreted"
16126,148,"not_secreted"
16028,146,"not_secreted"
15973,143,"not_secreted"
15900,136,"not_secreted"
15720,139,"not_secreted"
15650,149,"not_secreted"
15442,145,"not_secreted"
15427,135,"not_secreted"
15383,135,"not_secreted"
15286,135,"not_secreted"
15021,136,"not_secreted"
15018,132,"not_secreted"
14961,129,"not_secreted"
14856,136,"not_secreted"
14845,137,"not_secreted"
14573,130,"not_secreted"
14300,136,"not_secreted"
13951,126,"not_secreted"
13650,131,"not_secreted"
13531,131,"not_secreted"
13331,121,"not_secreted"
13272,126,"not_secreted"
13161,127,"not_secreted"
12477,115,"not_secreted"
12173,111,"not_secreted"
12110,113,"not_secreted"
11923,108,"not_secreted"
11916,103,"not_secreted"
11582,118,"not_secreted"
11527,99,"not_secreted"
11356,103,"not_secreted"
11291,101,"not_secreted"
10926,100,"not_secreted"
10854,95,"secreted"
10475,102,"not_secreted"
10316,92,"not_secreted"
9075,82,"not_secreted"
9058,76,"not_secreted"
8214,71,"not_secreted"
7743,67,"not_secreted"
6762,60,"secreted"
6496,56,"not_secreted"
2760,25,"not_secreted"
